,Author,Bookmarks,Comments,Post stats,Tags,Title,Views
0,sahsAGU,16,2.0,13.0,"['Разработка под Linux', 'Машинное обучение', 'Python', 'Microsoft Azure', 'Блог компании Microsoft']",Обзор Ubuntu DSVM: алхимия ни при чём,"2,3k"
1,N01Z3,61,8.0,55.0,"['Обработка изображений', 'Машинное обучение', 'Алгоритмы', 'Python', 'Блог компании Open Data Science']",Kaggle: Amazon from Space — трюки и хаки при обучении нейросетей,"6,8k"
2,Debug_all,101,25.0,16.0,"['Сетевые технологии', 'Ненормальное программирование', 'Python']","Анализ таблиц маршрутизации, или зачем ещё сетевому инженеру Python","7,8k"
3,Firemoon,112,12.0,28.0,"['Сетевые технологии', 'Python']",Стеганография в IP-пакетах,12k
4,Scorobey,41,9.0,13.0,"['Разработка под Windows', 'Математика', 'Алгоритмы', 'Python']","Определение баллистико-временных характеристик движения центра масс парашютиста, десантированного с самолёта","3,5k"
5,WAF,84,4.0,18.0,"['Информационная безопасность', 'Python']",Python и стеганография,"5,4k"
6,snakers4,31,6.0,24.0,"['Обработка изображений', 'Машинное обучение', 'Python']",Состязательные атаки (adversarial attacks) в соревновании Machines Can See 2018,"4,4k"
7,AlexPancho,30,10.0,15.0,"['Программирование', 'Информационная безопасность', 'Python']","Как я писал логин по протоколу SRP6a на Python, а получил… JavaScript и Python в одной коробке","2,9k"
8,rainbowpenguin,125,5.0,20.0,['Python'],NumPy в Python. Часть 3,"4,9k"
9,shulyndina,10,4.0,3.0,"['Программирование', 'Машинное обучение', 'Python', 'Django', 'Блог компании IT-People']","Предварительная программа PyConRu-2018: три Python Core Developer’а, докладчики из Google, Yelp, Red Hat, Яндекса","1,5k"
10,ph_piter,103,5.0,32.0,"['Машинное обучение', 'Математика', 'Алгоритмы', 'Python', 'Блог компании Издательский дом «Питер»']",Вероятностное программирование и байесовский метод для хакеров,"10,3k"
11,ph_piter,150,8.0,19.0,"['Профессиональная литература', 'Python', 'Блог компании Издательский дом «Питер»']",Книга «Глубокое обучение на Python»,"10,1k"
12,sahsAGU,112,186.0,45.0,"['Программирование', 'Искусственный интеллект', 'Python', 'API', 'Блог компании Microsoft']",Как нас анализируют в кинотеатрах… и не только,"44,4k"
13,BeloborodovDS,63,3.0,10.0,"['Облачные сервисы', 'Облачные вычисления', 'Машинное обучение', 'Python']",Сборка Caffe в Google Colaboratory: бесплатная видеокарта в облаке,"4,9k"
14,GoodSpeed800,32,2.0,4.0,"['Python', 'Data Mining', 'Big Data']",Хабра-словарь. Часть 1,3k
15,trojan03,31,4.0,8.0,"['Робототехника', 'Машинное обучение', 'Python', '*nix']",Калибровка камеры Intel RealSense d435 с помощью OpenCV2 и ROS,"1,9k"
16,Scorobey,42,6.0,13.0,"['Разработка под Windows', 'Разработка под Arduino', 'Математика', 'Анализ и проектирование систем', 'Python']",Определение плотности газа по результатам измерения давления и температуры датчиками Arduino,"2,5k"
17,cointegrated,46,11.0,25.0,"['Хакатоны', 'Прототипирование', 'Машинное обучение', 'Python', 'Data Mining']",Машинное обучение и экструдер полипропилена: история 3 места на хакатоне Сибура,"6,2k"
18,a-pichugin,17,3.0,9.0,"['Обработка изображений', 'Машинное обучение', 'Python', 'Big Data', 'Блог компании New Professions Lab']",ConvNets. Создание прототипа проекта с помощью Mask R-CNN,2k
19,SergeySatskiy,97,11.0,20.0,['Python'],Автоматическая визуализация python-кода. Часть третья: новые возможности графического представления кода,"9,1k"
20,AlekSandrDr,57,15.0,14.0,"['Разработка веб-сайтов', 'Python']","Мега-Учебник Flask, Часть XXIII: Интерфейсы прикладного программирования (API)","6,1k"
21,Distem,41,,10.0,"['Машинное обучение', 'Python', 'Data Mining', 'Big Data', 'Блог компании ID Finance']",Постановка Data Science задач и взаимодействие с бизнесом,"3,8k"
22,sahsAGU,26,,14.0,"['Разработка для интернета вещей', 'Машинное обучение', 'Python', 'Microsoft Azure', 'Блог компании Microsoft']",Просто добавь воды: разработка с H2O.ai,"4,6k"
23,Kwent,42,4.0,13.0,"['Семантика', 'Машинное обучение', 'Python', 'Data Mining', 'Блог компании Singularis']","Исправление опечаток, взгляд сбоку","3,4k"
24,Spoilt333,101,2.0,28.0,"['Машинное обучение', 'Python', 'Блог компании Отус']",Введение в состязательные сети,"7,8k"
25,Cheburator2033,49,8.0,37.0,"['Хранение данных', 'Администрирование баз данных', 'Python', 'API', 'Блог компании Rambler Group']",Разработка API Clickhouse для Рамблер/топ-100,"5,8k"
26,e_finkel,45,,41.0,"['Разработка веб-сайтов', 'Python', 'PHP', 'Go', 'Блог компании Конференции Олега Бунина (Онтико)']",Вся программа Backend Conf: от микросервисов до бесконечных данных,"7,1k"
27,MaxRokatansky,14,,9.0,"['Программирование', 'Python', 'Блог компании Отус']",Открытый вебинар: «Трудности перевода: 2 и 3 версии»,"1,1k"
28,faoxy,182,13.0,16.0,"['Разработка под Linux', 'Программирование', 'Параллельное программирование', 'Python', 'Блог компании «Альфа-Банк»']",Свой асинхронный tcp-сервер за 15 минут с подробным разбором,"12,4k"
29,pcdesign,96,46.0,54.0,['Python'],Органайзер-каталог для карт Heroes III и более 7700 карт в придачу,"15,7k"
30,oduvan,67,31.0,13.0,['Python'],"1000+1 способ определения того, являются ли все элементы в списке одинаковыми","8,1k"
31,Roman_Kh,68,9.0,19.0,"['Машинное обучение', 'Swift', 'Python', 'Data Mining']",Swift для дата-сайентиста: быстрое погружение за 2 часа,"8,5k"
32,Spoilt333,99,10.0,30.0,"['Машинное обучение', 'Python', 'Блог компании Отус']",Dive into pyTorch,"7,1k"
33,rainbowpenguin,146,8.0,25.0,['Python'],NumPy в Python. Часть 2,"6,3k"
34,a-pichugin,39,2.0,27.0,"['Машинное обучение', 'Python', 'Data Mining', 'Big Data', 'Блог компании New Professions Lab']","Стартапы, чат-боты, Кремниевая долина. Интервью с российскими разработчиками в Сан-Франциско","9,2k"
35,astromid,37,6.0,40.0,"['Машинное обучение', 'Python', 'Data Mining']",SmartMailHack. Решение 1-го места в задаче классификации логотипов,5k
36,KonstantinSmith,66,81.0,24.0,"['Ненормальное программирование', 'Python', 'Java', '.NET']",Кросс-языковая разработка ПО,15k
37,ph_piter,159,9.0,21.0,"['Программирование', 'Машинное обучение', 'Алгоритмы', 'Python', 'Блог компании Издательский дом «Питер»']",Экскурсия по PyTorch,"11,4k"
38,1Ridav,124,16.0,20.0,"['Тестирование IT-систем', 'Python', 'Java']",Как я писал графического бота и во что это превратилось,"10,7k"
39,rafinirovannoe,18,4.0,9.0,"['Программирование', 'Python', 'PHP', 'Go', 'Блог компании Avito']","Backend United #1. Винегрет — видео, фотоотчёт, презентации и отзывы слушателей","2,2k"
40,AlekSandrDr,33,2.0,3.0,"['Разработка веб-сайтов', 'Python']","Мега-Учебник Flask, Часть XXII: Фоновые задачи",3k
41,nike32,171,41.0,53.0,"['Открытые данные', 'Python']","Как заставить государство открываться, ч.1: Качаем статистику ДТП своими руками","24,7k"
42,AGrin,43,10.0,1.0,"['Машинное обучение', 'Математика', 'Алгоритмы', 'Python', 'Data Mining']",Настройка модели машинного обучения: подбор признаков и оптимизация гиперпараметров,"2,1k"
43,jackmas,37,15.0,10.0,"['SCADA', 'Python']",ScadaPy Creator для python,"4,7k"
44,m1rko,84,7.0,44.0,"['Серверное администрирование', 'Серверная оптимизация', 'Высокая производительность', 'Python', 'Amazon Web Services']",Как Netflix эвакуируется из региона AWS за семь минут,"22,4k"
45,AlekSandrDr,39,,6.0,"['Разработка веб-сайтов', 'Python']","Мега-Учебник Flask, Часть XXI: Уведомления пользователей","2,6k"
46,Mahpella,23,1.0,34.0,"['Машинное обучение', 'Python', 'Data Mining', 'Блог компании Mail.Ru Group']",SmartMailHack. История победителей в задаче Name Entity Recognition,"3,9k"
47,AlekSandrDr,13,,9.0,['Python'],Hypothesis — параметры,1k
48,Roaming,111,4.0,31.0,"['Машинное обучение', 'Python']",Применение рекуррентных слоев для решения многоходовок,"9,3k"
49,shulyndina,11,,3.0,"['Разработка веб-сайтов', 'Программирование', 'Python', 'Django', 'Блог компании IT-People']",PYCON RUSSIA 2018 пройдёт 22-23 июля. Save the date,"1,1k"
50,AlekSandrDr,28,11.0,8.0,['Python'],Hypothesis,"2,7k"
51,AlekSandrDr,28,,8.0,['Python'],Hypothesis Краткое руководство,"2,5k"
52,AlekSandrDr,19,,3.0,['Python'],Hypotesis — Детали и дополнительные функции,"1,1k"
53,snakers4,46,,27.0,"['Обработка изображений', 'Машинное обучение', 'Python', 'Data Mining']",Применяем Deep Watershed Transform в соревновании Kaggle Data Science Bowl 2018,"3,7k"
54,Leono,117,3.0,32.0,"['Разработка мобильных приложений', 'Python', 'Блог компании Яндекс']",Мобильное приложение на Python c kivy/buildozer. Лекция в Яндексе,"7,5k"
55,Scorobey,32,6.0,9.0,"['Разработка под Windows', 'Промышленное программирование', 'Математика', 'Алгоритмы', 'Python']",Измерение уровня жидкости в топливном баке ракеты,9k
56,inforion_ru,3,,13.0,"['Реверс-инжиниринг', 'Машинное обучение', 'Python', 'Kotlin', 'Блог компании ИНФОРИОН']",Конференция SMARTRHINO-2018,898
57,McKenzy,110,25.0,59.0,"['Машинное обучение', 'Алгоритмы', 'R', 'Python', 'Блог компании Open Data Science']","Ассоциативные правила, или пиво с подгузниками","10,7k"
58,AlekSandrDr,47,,10.0,"['Разработка веб-сайтов', 'Python']","Мега-Учебник Flask, Часть XX: Магия JavaScript","3,8k"
59,proofx,66,2.0,5.0,"['Исследования и прогнозы в IT', 'Python', 'Django']",Автоматизация криптоторговли с Django и Celery,"6,8k"
60,vmvarga,76,5.0,10.0,"['Информационная безопасность', 'Python', 'Блог компании Перспективный мониторинг']","Автоматизация действий атакующего, используя metasploit и Python","4,9k"
61,Scorobey,41,,5.0,"['Разработка под Windows', 'Математика', 'Анализ и проектирование систем', 'Python', 'Matlab']",Пространство состояний в задачах проектирования систем оптимального управления,"2,2k"
62,feriat,87,1.0,34.0,"['Промышленное программирование', 'Анализ и проектирование систем', 'Python', 'Блог компании Яндекс']","JupyterHub, или как управлять сотнями пользователей Python. Лекция Яндекса","7,5k"
63,MaxRokatansky,73,23.0,24.0,"['Программирование', 'Python', 'Блог компании Отус']",Опасные pickles — вредоносная сериализация в Python,"8,3k"
64,AlekSandrDr,44,,5.0,"['Разработка веб-сайтов', 'Python']","Мега-Учебник Flask, Часть XIX: Развертывание на основе Docker-контейнеров","3,9k"
65,Scorobey,46,7.0,1.0,"['Разработка под Windows Phone', 'Математика', 'Анализ и проектирование систем', 'Python']",Моделирование системы управления самолётом,"2,9k"
66,info_habr,38,2.0,9.0,"['Геоинформационные сервисы', 'Python', 'OpenStreetMap', 'Блог компании МТС']",Как с помощью анализа геоданных предсказать количество вызовов экстренных служб в разных частях города?,"3,6k"
67,madrugado,218,29.0,67.0,"['Семантика', 'Машинное обучение', 'Python', 'Data Mining', 'Блог компании Open Data Science']",Применение сверточных нейронных сетей для задач NLP,"21,3k"
68,maxpy,73,,13.0,"['Читальный зал', 'Python']","Pygest #24. Новости, релизы, статьи, интересные проекты и библиотеки из мира Python [март 2018 — 9 апреля 2018]","8,3k"
69,Iryaz,247,23.0,23.0,"['Программирование', 'Визуализация данных', 'Python']",Анализ данных с использованием Python,"24,9k"
70,HomunCulus,81,8.0,13.0,"['Программирование', 'Анализ и проектирование систем', 'Алгоритмы', 'Python', 'DevOps']","Never Fail Twice, или как построить мониторинговую систему с нуля","8,5k"
71,bad__day,310,36.0,63.0,"['Программирование', 'Графические оболочки', 'Python']",Создаем TUI на python,"21,6k"
72,AlekSandrDr,37,,9.0,"['Разработка веб-сайтов', 'Python']","Мега-Учебник Flask, Часть XVIII: Развертывание на Heroku","3,4k"
73,SanDark7,2,,12.0,"['Машинное обучение', 'Scala', 'Python', 'Big Data', 'Блог компании Rambler Group']",Анонс Moscow Spark #4,"1,8k"
74,rainbowpenguin,295,26.0,36.0,['Python'],NumPy в Python. Часть 1,"18,4k"
75,Scorobey,77,,12.0,"['Разработка под Windows', 'Математика', 'Анализ и проектирование систем', 'Python']",Использование библиотеки Python Control Systems Library для проектирования систем автоматического управления,"4,4k"
76,AlekSandrDr,47,3.0,8.0,"['Разработка веб-сайтов', 'Python']","Мега-Учебник Flask, Часть XVII: Развертывание под Linux","4,5k"
77,pushtaev,85,14.0,25.0,"['Программирование', 'Алгоритмы', 'Python', 'Блог компании Mail.Ru Group']",Разработка алгоритма движения лифтов,"12,6k"
78,snovvcrash,79,6.0,14.0,"['Разработка под Linux', 'Информационная безопасность', 'Python', 'Open source', '*nix']",Linux-форензика в лице трекинга истории подключений USB-устройств,"4,9k"
79,AlekSandrDr,53,2.0,15.0,"['Разработка веб-сайтов', 'Python']","Мега-Учебник Flask, Часть XVI: Полнотекстовый поиск","4,4k"
80,Meklon,135,57.0,96.0,"['Графический дизайн', 'Usability', 'Python', 'Open source']","Состоялся релиз Krita 4.0, свободного графического редактора для художников","28,8k"
81,a-pichugin,9,,8.0,"['Python', 'Data Mining', 'Big Data', 'Блог компании New Professions Lab']","Обзор второго дня Data Science Weekend 2018. Data Engineering, ETL, поисковые сервисы и многое другое","2,1k"
82,Scorobey,73,29.0,9.0,"['Разработка под Windows', 'Программирование микроконтроллеров', 'Математика', 'Анализ и проектирование систем', 'Python']",Контроллер Arduino с датчиком температуры и Python интерфейсом для динамической идентификации объектов управления,"6,9k"
83,YuliyaCl,72,9.0,7.0,"['Машинное обучение', 'Визуализация данных', 'Python', 'Google API']",«Cделать красиво». Визуализация обучения с Tensorboard от Google,"5,9k"
84,PavelMSTU,30,14.0,10.0,"['Разработка систем связи', 'Программирование', 'Криптография', 'Информационная безопасность', 'Python']",Хеш-стеганография в dataset-ах. На этот раз быстрая,"2,7k"
85,sdore,52,24.0,9.0,"['Сжатие данных', 'Обработка изображений', 'Криптография', 'Python', 'Open source']",Стойкое шифрование данных в PNG,"5,9k"
86,albu,81,4.0,62.0,"['Обработка изображений', 'Машинное обучение', 'Алгоритмы', 'Python', 'Блог компании Open Data Science']",Автоматическая векторизация спутниковых снимков: одна модель — два первых места,"10,8k"
87,robux,68,10.0,14.0,"['Микроформаты', 'Ruby', 'Python', 'Open source']",Бинарный формат PSON,"6,9k"
88,romabibi,34,18.0,15.0,"['Программирование', 'Криптография', 'Информационная безопасность', 'Python']",Хэш-стеганография с использованием vkapi,4k
89,M00nL1ght,88,8.0,29.0,"['Программирование', 'Машинное обучение', 'Математика', 'Алгоритмы', 'Python']",Hessian-Free оптимизация с помощью TensorFlow,"5,5k"
90,a-pichugin,23,,17.0,"['Машинное обучение', 'Python', 'Data Mining', 'Big Data', 'Блог компании New Professions Lab']","Обзор первого дня Data Science Weekend 2018. Практика машинного обучения, новый подход к соревнованиям и многое другое","3,3k"
91,sergeypid,31,89.0,16.0,"['Машинное обучение', 'Карьера в IT-индустрии', 'Исследования и прогнозы в IT', 'Python']",Военное ведомство США должно срочно переосмыслить стратегию в области машинного обучения,"13,2k"
92,baldr,182,79.0,15.0,"['Программирование', 'Python', 'Django']",Несколько советов по организации Python-приложения на сервере,14k
93,Sklert,88,20.0,9.0,"['Машинное обучение', 'Алгоритмы', 'Python']",Классификация музыкальных композиций по исполнителям с помощью Скрытых Марковских Моделей,"4,7k"
94,evgri,138,1.0,16.0,"['Программирование', 'Машинное обучение', 'Python', 'Microsoft Azure', 'Блог компании Microsoft']",Python’ом по машинлернингу,14k
95,AGrin,108,10.0,7.0,"['Программирование', 'Машинное обучение', 'Python', 'Open source']",Небольшая библиотека для применения ИИ в Telegram чат-ботах,"6,7k"
96,Scorobey,50,5.0,14.0,"['Разработка под Windows', 'Математика', 'Анализ и проектирование систем', 'Алгоритмы', 'Python']",Математическая модель тепловыделяющего элемента ядерного реактора,"10,6k"
97,tutam,125,13.0,13.0,"['Работа со звуком', 'Python']",Распознавание речи на python с помощью pocketsphinx или как я пытался сделать голосового ассистента,"9,8k"
98,snovvcrash,53,5.0,17.0,"['Реверс-инжиниринг', 'Криптография', 'Python', 'CTF']",Искусство эксплойта минных полей: Разбираем CTF-таск про игру в Сапёра из «Мистера Робота»,9k
99,SlavikMIPT,174,20.0,28.0,"['Серверная оптимизация', 'Работа с видео', 'Программирование', 'Python']",FFMPEG. Загружаем часть видео с YouTube,"13,3k"
100,synedra,24,,5.0,"['Программирование', 'Python']",Distant Joining: выбираем репрезентативный набор генов,"1,7k"
101,AlekSandrDr,45,7.0,6.0,"['Разработка веб-сайтов', 'Python']","Мега-Учебник Flask, Часть XV: Улучшение структуры приложения","4,6k"
102,m1rko,396,50.0,124.0,"['Обработка изображений', 'Алгоритмы', 'Python', 'Open source']",Cжатие и улучшение рукописных конспектов,"26,7k"
103,alexkuku,398,33.0,85.0,"['Машинное обучение', 'Python', 'Data Mining', 'Big Data']",Наташа — библиотека для извлечения структурированной информации из текстов на русском языке,"24,9k"
104,P0rt,83,8.0,23.0,"['Параллельное программирование', 'Python']",Эффективное использование памяти при параллельных операциях ввода-вывода в Python,"5,9k"
105,AGrin,122,4.0,11.0,"['Машинное обучение', 'Python', 'Data Mining', 'Big Data']",Как быстро написать и выкатить в продакшн алгоритм машинного обучения,"8,4k"
106,saluev,94,,21.0,"['Программирование', 'Ненормальное программирование', 'Алгоритмы', 'Python']",Решаем задачи без самобалансирующихся деревьев в Python,"6,2k"
107,abarkov,246,15.0,14.0,"['Машинное обучение', 'Python']",Первые шаги в машинном обучении,"18,1k"
108,Alexey00007,70,9.0,10.0,"['Программирование микроконтроллеров', 'Python', 'C++']",Тестирование проектов C/C++ с помощью Python,"4,8k"
109,perevalov_a,80,6.0,18.0,"['Семантика', 'Машинное обучение', 'Математика', 'Python']",Мульти-классификация Google-запросов с использованием нейросети на Python,"6,9k"
110,Kirtis,105,22.0,10.0,"['Python', 'Open source', 'Go']",Написание Telegram-бота для Habrahabr,"13,5k"
111,Scorobey,47,12.0,23.0,"['Разработка под Windows', 'Промышленное программирование', 'Математика', 'Алгоритмы', 'Python']",Подвесные топливные баки для самолётов,"16,9k"
112,sshmakov,91,24.0,12.0,['Python'],Разбор предложений по шаблонам русского языка,"5,8k"
113,gii,590,42.0,19.0,"['Учебный процесс в IT', 'Python']",Как не стать Python-разработчиком,"57,8k"
114,afrikyan,120,6.0,23.0,"['Открытые данные', 'Визуализация данных', 'Python', 'Open source', 'Data Mining']",Работа с Anaconda на примере поиска корреляции курсов криптовалют,"10,6k"
115,nybkox,310,35.0,16.0,"['Программирование', 'Python']",Создание и хостинг телеграм бота. От А до Я,15k
116,AlekSandrDr,49,3.0,7.0,"['Разработка веб-сайтов', 'Python']","Мега-Учебник Flask, Часть XIV: Ajax","4,6k"
117,jandevel,149,14.0,65.0,"['Машинное обучение', 'Математика', 'Python', 'Data Mining', 'Блог компании Open Data Science']",Коэффициент Джини. Из экономики в машинное обучение,"17,9k"
118,joochooz,165,18.0,23.0,"['Программирование', 'Ruby', 'Python', 'JavaScript', 'API']",Делаем приём платежей криптовалютой своими руками,"11,1k"
119,afrikyan,22,11.0,17.0,"['Visual Studio', 'Python', 'Open source', 'Microsoft Azure', 'Data Mining']",Коллаборация Visual Studio Code и Anaconda,"9,2k"
120,AlekSandrDr,56,,18.0,"['Разработка веб-сайтов', 'Python']","Мега-Учебник Flask, Часть XIII: I18n и L10n (издание 2018)","4,8k"
121,maxpy,61,2.0,22.0,['Python'],"Pygest #23. Новости, релизы, статьи, интересные проекты и библиотеки из мира Python [4 февраля 2018 — 26 февраля 2018]","7,8k"
122,DataArt,146,15.0,27.0,"['Разработка для интернета вещей', 'Обработка изображений', 'Машинное обучение', 'Python', 'Блог компании DataArt']",Классификация объектов в режиме реального времени,"10,4k"
123,Scorobey,47,7.0,6.0,"['Промышленное программирование', 'Математика', 'Анализ и проектирование систем', 'Алгоритмы', 'Python']",Беспоисковый метод расчета настроек регуляторов средствами Python,"4,2k"
124,a-pichugin,23,,8.0,"['Бизнес-модели', 'Python', 'Data Mining', 'Big Data', 'Блог компании New Professions Lab']",Как собрать сильную команду аналитиков и инженеров данных? Опыт компании Wish. Часть 2,"2,6k"
125,ShashkovS,991,60.0,97.0,"['Читальный зал', 'Спортивное программирование', 'Совершенный код', 'Регулярные выражения', 'Python']","Регулярные выражения в Python от простого к сложному. Подробности, примеры, картинки, упражнения","64,8k"
126,saluev,83,11.0,49.0,"['Программирование', 'Ненормальное программирование', 'Python']",Балуемся с унарными операторами в Python,"13,3k"
127,snovvcrash,24,3.0,12.0,"['Работа со звуком', 'Программирование', 'Qt', 'Python', 'Open source']",На волнах эффекта Ли: Питонизируем генерацию DAF,"2,8k"
128,Scorobey,57,2.0,10.0,"['Разработка под Windows', 'Математика', 'Анализ и проектирование систем', 'Алгоритмы', 'Python']",Оптимизация настроек ПИД регулятора по интегральному критерию качества регулирования,"4,3k"
129,red_b,35,,13.0,"['Математика', 'Python']",Методы конструирования тестовых функций,"2,7k"
130,aleshkashell,74,11.0,25.0,"['Системное администрирование', 'Python', 'Google API', 'Блог компании Pixonic']",How-to: смена основного домена в G Suite для всей компании и с сохранением всех данных,"5,1k"
131,Nick_mentat,96,431.0,27.0,"['Программирование', 'Python']","Python, Delphi и C++ глазами учёного","29,4k"
132,AlekSandrDr,28,,6.0,"['Разработка веб-сайтов', 'Python']","Мега-Учебник Flask, Часть XII: Даты и время (издание 2018)","3,4k"
133,alextretyak,8,40.0,,"['Ненормальное программирование', 'Python']","«Конкурс» на лучшую программную реализацию, выводящую число ‘‘сорок два’’","5,4k"
134,pcdesign,120,10.0,19.0,"['Разработка веб-сайтов', 'Python', 'MongoDB']","Готовый шаблон сайта с регистрацией, юзерами и админами на Flask с базами SQL или MongoDB","7,3k"
135,maxpy,53,19.0,12.0,['Python'],"Интересные факты о Python или «С днем рождения, Python!»","11,8k"
136,Krummi,107,54.0,13.0,"['Программирование', 'Python']",Почему Python так хорош в научных вычислениях,"19,8k"
137,iggisv9t,179,18.0,63.0,"['Машинное обучение', 'Визуализация данных', 'Python', 'Data Mining', 'Блог компании Open Data Science']",Визуализация данных для киноманов: скрапим рекомендации фильмов и делаем интерактивный граф,"17,7k"
138,Meny,39,7.0,16.0,"['Twitter API', 'Python']",Как предсказать победителя премии Оскар по данным социальных сетей или как я провел выходной,"3,9k"
139,MaxRokatansky,122,11.0,26.0,"['Программирование', 'Python', 'Блог компании Отус']",Как сделать ваш код в 80 раз быстрее,"17,7k"
140,AlekSandrDr,47,,10.0,"['Разработка веб-сайтов', 'Python']","Мега-Учебник Flask, Часть XI: Чуть-чуть косметики (издание 2018)","5,7k"
141,Roaming,61,5.0,18.0,"['Машинное обучение', 'Python', 'Data Mining']",Автоэнкодер в задачах кластеризации политических событий,"4,3k"
142,snakers4,59,4.0,32.0,"['Обработка изображений', 'Машинное обучение', 'Python', 'Big Data']",Из спутниковых снимков в графы (cоревнование SpaceNet Road Detector) — попадание топ-10 и код (перевод),"6,5k"
143,dmytrostriletskyi,106,16.0,17.0,"['Разработка веб-сайтов', 'Python', 'Open source', 'GitHub', 'Django']",Авторизация пользователя на вашем сайте через Telegram для Django,7k
144,Scorobey,49,13.0,30.0,"['Разработка под Windows', 'Математика', 'Алгоритмы', 'Python']",Бронебойные снаряды с прямоточным воздушно- реактивным двигателем,"11,6k"
145,ZoyaCherkasova,121,34.0,72.0,"['Машинное обучение', 'Python', 'Блог компании JetBrains']",Datalore: открываем бета-версию приложения для анализа данных на Python,"19,6k"
146,s_a_p,116,19.0,23.0,"['Разработка под Android', 'Разработка игр', 'Python']",Разработка игры под Android на Python на базе Kivy. От А до Я: подводные камни и неочевидные решения. Часть 1,10k
147,HeaTTheatR,163,40.0,39.0,"['Разработка мобильных приложений', 'Python']",Kivy — маленький фрукт с большим будущим,"19,9k"
148,AlekSandrDr,58,8.0,16.0,"['Разработка веб-сайтов', 'Python']","Мега-Учебник Flask, Часть X: Поддержка электронной почты (издание 2018)","4,7k"
149,random1st,25,9.0,14.0,"['Python', 'Amazon Web Services']",Serverless приложение с реализацией CI/CD на базе AWS и Bitbucket Pipelines,"3,2k"
150,snakers4,49,5.0,40.0,"['Работа с видео', 'Обработка изображений', 'Машинное обучение', 'Python']",Соревнование Pri-matrix Factorization на DrivenData с 1ТБ данных — как мы заняли 3 место (перевод),"6,6k"
151,dmytrostriletskyi,42,,13.0,"['Программирование', 'Отладка', 'Python', 'Open source', 'GitHub']",pdbe — помощник встроенного Python-дебаггера и процесса отладки,"4,4k"
152,maxpy,65,2.0,16.0,"['Читальный зал', 'Python']","Pygest #22. Релизы, статьи, интересные проекты, пакеты и библиотеки из мира Python [18 января 2018 — 4 февраля 2018]","6,9k"
153,survivorm,194,24.0,41.0,"['Алгоритмы', 'Python']","Парсеры, обработка текста. Просто о сложном. CFG, BNF, LL(k), LR(k), PEG и другие страшные слова","13,7k"
154,SlavikMIPT,112,7.0,15.0,"['Хранение данных', 'Программирование', 'Ненормальное программирование', 'Python', 'API']",Telegram боты. Загружаем файлы больше 50мб,"13,1k"
155,alextretyak,25,66.0,21.0,"['Ненормальное программирование', 'Python', 'HTML']",Новый облегчённый язык разметки текста на основе парных кавычек (pq),"14,1k"
156,true-grue,45,35.0,22.0,"['Читальный зал', 'Работа со звуком', 'Программирование', 'Алгоритмы', 'Python']",Программный синтез звука на ранних персональных компьютерах. Часть 2,"6,4k"
157,true-grue,91,11.0,37.0,"['Читальный зал', 'Работа со звуком', 'Программирование', 'Алгоритмы', 'Python']",Программный синтез звука на ранних персональных компьютерах. Часть 1,"9,2k"
158,zxcv198511,75,7.0,21.0,"['Python', 'Data Mining']",Парсинг сайтов или долгострои Московской области,"8,7k"
159,AlekSandrDr,48,4.0,15.0,"['Разработка веб-сайтов', 'Python']","Мега-Учебник Flask, Часть IX: разбиение на страницы (издание 2018)","5,3k"
160,kricha,81,8.0,6.0,"['Интернет-маркетинг', 'Визуализация данных', 'Python']",Лень пораБОТила instagram,8k
161,ildarchegg,86,39.0,28.0,"['Открытые данные', 'Python', 'Google Cloud Platform', 'Data Mining', 'Big Data']",Анализируй это. Mista.ru,"10,2k"
162,PatientZero,82,,10.0,"['Разработка игр', 'Python']",Создание игр на Python 3 и Pygame: Часть 5,"8,9k"
163,sattvadigit,136,7.0,13.0,"['Программирование', 'Параллельное программирование', 'Математика', 'Python']",Python для обучения научной информатике: Моделирование систем массового обслуживания,"11,4k"
164,PatientZero,110,4.0,18.0,"['Разработка игр', 'Python']",Создание игр на Python 3 и Pygame: Часть 4,"9,4k"
165,Scorobey,28,7.0,10.0,"['Разработка под Windows', 'Математика', 'Анализ и проектирование систем', 'Python']",Оптимизация многоступенчатых компрессоров по энергозатратам на адиабатическое сжатие газа,4k
166,Kazmal,64,24.0,15.0,"['Разработка под Linux', 'Криптография', 'Информационная безопасность', 'Python']",Стеганография в файловой системе,"6,9k"
167,mikhailpavlov,95,6.0,9.0,"['SQLite', 'Python', 'Django']",Telegram бот для сложных квестов,"7,6k"
168,roryorangepants,112,7.0,26.0,"['Обработка изображений', 'Машинное обучение', 'Алгоритмы', 'Python']",Xception: компактная глубокая нейронная сеть,"9,9k"
169,sahsAGU,25,,12.0,"['Машинное обучение', 'Visual Studio', 'Python', 'Microsoft Azure', 'Блог компании Microsoft']",Azure ML Workbench: Начало работы,"2,5k"
170,PatientZero,87,,15.0,"['Разработка игр', 'Python']",Создание игр на Python 3 и Pygame: Часть 3,"6,8k"
171,AlekSandrDr,62,13.0,15.0,"['Разработка веб-сайтов', 'Python']","Мега-Учебник Flask, Глава 8: Подписчики, контакты и друзья (издание 2018)","6,9k"
172,PatientZero,125,5.0,16.0,"['Разработка игр', 'Python']",Создание игр на Python 3 и Pygame: Часть 2,"12,7k"
