,Author,Bookmarks,Comments,Post stats,Tags,Title,Views
449,kayan,128,,13.0,"['Математика', 'Визуализация данных', 'Python', 'Data Mining']",Делаем data science-портфолио: история через данные,"11,9k"
450,Scorobey,65,1.0,6.0,"['Разработка под Windows', 'Математика', 'Python']",Вероятностный и информационный анализ результатов измерений на Python,"5,5k"
451,iphysic,45,,25.0,"['Обработка изображений', 'Машинное обучение', 'Математика', 'Алгоритмы', 'Python']","Автоэнкодеры в Keras, Часть 5: GAN(Generative Adversarial Networks) и tensorflow","8,1k"
452,Dmitry21,140,1.0,15.0,"['Разработка веб-сайтов', 'Python', 'Блог компании Отус']",Использование Python и Excel для обработки и анализа данных. Часть 2: библиотеки для работы с данными,35k
453,Tully,9,1.0,,"['Программирование', 'Python', 'Блог компании Отус']",Дни открытых дверей перед запуском нового курса по Python,"2,2k"
454,TyVik,76,,15.0,['Python'],Получаем фотографии NASA с Марса с помощью aiohttp,"7,1k"
455,itinvest,135,1.0,9.0,"['Python', 'Блог компании ITI Capital']",Руководство: как использовать Python для алгоритмической торговли на бирже. Часть 2,"10,1k"
456,Dmitry21,204,6.0,8.0,"['Разработка веб-сайтов', 'Python', 'Блог компании Отус']",Использование Python и Excel для обработки и анализа данных. Часть 1: импорт данных и настройка среды,"27,5k"
457,iphysic,59,12.0,29.0,"['Обработка изображений', 'Машинное обучение', 'Математика', 'Алгоритмы', 'Python']","Автоэнкодеры в Keras, Часть 4: Conditional VAE","6,5k"
458,Myosotis,59,35.0,12.0,"['Информационная безопасность', 'Браузеры', 'SQL', 'Python', 'IT-стандарты']",Дискриминация котов: веб-трекинг через невидимые картинки,"11,8k"
459,Scorobey,80,3.0,10.0,"['Разработка под Windows', 'Математика', 'Python']",Подбор закона распределения случайной величины по данным статистической выборки средствами Python,"13,7k"
460,iphysic,83,15.0,46.0,"['Обработка изображений', 'Машинное обучение', 'Математика', 'Алгоритмы', 'Python']","Автоэнкодеры в Keras, Часть 3: Вариационные автоэнкодеры (VAE)","12,5k"
461,itinvest,258,4.0,18.0,"['Python', 'Блог компании ITI Capital']",Руководство: как использовать Python для алгоритмической торговли на бирже. Часть 1,33k
462,iphysic,89,5.0,32.0,"['Машинное обучение', 'Алгоритмы', 'Python']","Автоэнкодеры в Keras, Часть 2: Manifold learning и скрытые (latent) переменные","9,6k"
